grievance_id,text,department,state,urgency,if_anomaly_score,escalation_risk,predicted_resolution_days
gdn_1891898784933297814,"‘A passion, but also a gamble’: why India’s gen Z are cashing in on the trend for secondhand fashion. Faced with rising costs and a lack of jobs, many young Indians are turning an online side hustle into a successful income – but the informal work isn’t always plain sailing The work begins at sunrise, ahead of her first Instagram post. Astha Chhetri starts the day on her phone, combing through supplier lists, checking shipment updates and preparing stock for her online store. The evenings find Chhetri, 26, with her mobile still in hand, photographing and posting reels of clothes for sale and replying to customer messages. What started as a side hustle while she was w",Ministry of Telecommunications,national,medium,0.6655,0.036,30.7
gdn_3889899987798333890,"Fifa’s failure to agree World Cup TV deals in China and India a headache for Infantino. With the tournament a month away, there are still no agreements done with the two Asian giants to ensure fans there can watch all 104 games When Fifa expanded the World Cup from 32 to 48 teams, it was in the hope that countries such as India and China, with their 2.7 billion residents, would qualify rather than countries such as Cape Verde and Curaçao, whose combined population of about 700,000 barely equals a district of a megacity such as Mumbai or Shanghai. What the governing body did not account for was that, with the 2026 tournam",Ministry of Home Affairs,national,medium,0.6532,0.012,53.8
gdn_1851081550524720894,"Can promises on gender equality made in Australia help a 16-year-old cigarette maker with no toilet in India?. In this week’s newsletter:<strong> </strong>can the Melbourne declaration help women affected by injustice?; plus the artist chronicling the DRC’s blood-soaked history in embroidery In her words I first spoke to Shazia Khanum for a report on informal jobs. The 16-year-old’s fingers moved swiftly as she talked, rolling bidis – tendu leaves tied around tobacco. She rolls about 300-500 of the cigarettes daily, earning about £1. In the cramped workshop in Karnataka’s Yarab Nagar, India, where she works, there are no toilets or sanitary facilities. Asked how she manages her period",Ministry of Home Affairs,Karnataka,medium,0.6433,0.021,47.2
gdn_3585227363997694422,"Can promises on gender equality made in Australia help a 16-year-old Indian cigarette maker with no toilet?. The Melbourne declaration aims to direct funding and power to those most overlooked and affected by injustice. But for many its promise is a distant one I first spoke to Shazia Khanum for a report I was writing on adolescent girls in informal jobs. The 16-year-old’s fingers moved swiftly as she talked, rolling bidis – tobacco in tendu leaves tied with string. She told me she rolls about 300 to 500 thin cigarettes daily, earning a little more than £1 on a good day (roughly 250 rupees for 1,000 bidis is the rate). In the cramped workshop where she w",Ministry of Power,national,medium,0.6442,0.027,48.8
gdn_8613860249540030290,"‘Pocket-sized symbol of colonial loot’: how New York’s mayor revived Koh-i-noor diamond debate. Zohran Mamdani’s suggestion King Charles should return diamond to India has reopened old wounds It may not be the biggest or most precious jewel ensconced in the Tower of London, but few diamonds have a legacy to rival that of the Koh-i-noor. Likely to have originated in southern India, the diamond’s history is that of a great disruptor across the subcontinent, exchanging hands over centuries through acts of war, violence and assassination from Mughal emperors, Persian invaders, Sikh Kings a",Ministry of Home Affairs,national,medium,0.6439,0.033,30.4
gdn_6563402220400187802,"Raghu Rai obituary. Celebrated photographer who captured the political upheavals and everyday life of post-independence India In the early hours of 3 December 1984, the photographer Raghu Rai was woken by a phone call from his editor at India Today alerting him to a catastrophic gas leak at the Union Carbide pesticide plant in Bhopal. Thousands had been killed in what would become known as the world’s worst industrial disaster. Rai took the first flight out of Delhi, arriving that morning to a city overwhelmed by death.",Ministry of Petroleum,Delhi,critical,0.6585,0.025,36.5
gdn_8812285451785280663,"New York officials return more than 650 antiquities valued at $14m to India. Move comes after mayor Zohran Mamdani spoke of return of the Koh-i-noor diamond after UK royals’ visit to New York Hundreds of antiquities valued at $14m have been returned to India by New York authorities, including some connected to the alleged art smuggler Subhash Kapoor, in a move that is likely to raise the pressure on others to make similar gestures. The return of 657 antiquities was announced by the Manhattan district attorney, Alvin Bragg Jr, on Tuesday, and came as New York City’s mayor, Zohran Mamdan",Ministry of Telecommunications,national,low,0.6639,0.014,43.6
gdn_8871413341093745269,"Shock in India after man takes remains of his sister to bank to prove her death. Jitu Munda says he was refused access to money in case highlighting ‘lack of humanity’ in Indian bureaucracy The sight of a man bringing the remains of his dead sister to a bank in India after officials had refused to let him withdraw money without proof of her death has caused shock in India. Jitu Munda, 52, from the Indian state of Odisha, was captured on video carrying the remains of his recently deceased sister through the streets of Keonjhar and placing them outside the local bank. Munda said he had",Ministry of Home Affairs,Odisha,critical,0.6721,0.025,32.3
gdn_917303120498118394,"Indian billionaire’s son offers to house Pablo Escobar’s hippos at his private zoo. Anant Ambani revives offer to transport 80 animals, all descendants of Colombian drug kingpin’s pets, to India It remains one of the strangest conundrums in modern zoological history – what to do with the descendants of Pablo Escobar’s hippos? The animals – herbivores native to sub-Saharan Africa – were originally imported into Colombia by the drug kingpin for his own entertainment. But the beasts and their offspring were left to roam free after his death in 1993. Now, the expanding population of feral hip",Ministry of Commerce,national,critical,0.6591,0.016,44.2
gdn_3027440291041485992,"Weather tracker: Torrential rain in southern China leads to flooding fears. Heatwaves reach 45C across India as unseasonably cold weather affects parts of central Canada Widespread heavy rain is sweeping over southern China. By Wednesday, rainfall totals are expected to exceed 100mm across many parts of Guangxi, Guangdong, Fujian, Zhejiang, Jiangxi and Hunan provinces, and in some areas as much as 150-200mm. As a result, the Office of the State Flood Control and Drought Relief Headquarters and the Ministry of Emergency Management have been holding meetings with me",Ministry of Housing,national,medium,0.6185,0.025,48.0
gdn_3891560723121045133,"India voices anger after Trump shares comments calling it a ‘hellhole’. Foreign ministry calls remarks of rightwing podcast host shared by Trump ‘uninformed, inappropriate and in poor taste’ The Indian government has denounced a social media post shared by Donald Trump that described India as a “hellhole”, calling the comments inappropriate and “in poor taste”. On Wednesday, Trump posted a four-page transcription of remarks made by the conservative podcast host Michael Savage that denounced the US constitutional right to citizenship of everyone born in the country. Without evidence, t",Ministry of Home Affairs,national,medium,0.6195,0.025,48.3
gdn_1298349274941314728,"‘Lawrence is karma’: the gangster who became an icon of Modi’s India. <strong>The long read:</strong> Lawrence Bishnoi has been in high-security custody for more than a decade. During that time, he has been linked to multiple high-profile killings, both in India and as far afield as Canada. What explains his seemingly undimmed power? The border that separates India from Pakistan is lined with 50,000 towering poles that hold 150,000 floodlights, which at night create a glare that is visible from outer space. Passing through the towns on the Indian side of the border, it can be difficult to tell, even in daylight, where one ends and the other begins. Curving along the rolling fields of wheat are nameless dirt roads where men sit",Ministry of Finance,national,medium,0.6532,0.026,51.8
gdn_4810884972019227140,"Millions in India stripped of vote before critical state election, as government seeks to ‘purify’ electoral roll. Experts say Muslims and other minorities have been disproportionately deleted from the electoral roll ahead of the West Bengal elections this week Millions of people in the Indian state of West Bengal have been stripped of their vote ahead of a critical state election this week, after a controversial electoral revision described by critics as a “bloodless political genocide” and mass disenfranchisement of minorities. In West Bengal, a total of 9.1 million names have been deleted from the register, more than 10% of the electorate. While many",Ministry of Home Affairs,West Bengal,critical,0.6735,0.009,40.6
gdn_2368600257634651449,"India fails to pass bill to boost women’s representation after delimitation row. Opposition accuses Narendra Modi government of using quotas as cover for redrawing electoral map The Indian government has failed to pass a bill to increase female representation in parliament after being accused of using the plan as a guise to redraw the country’s electoral map. It was the first time in 12 years in power that a constitutional amendment proposed by Narendra Modi’s Bharatiya Janata party (BJP) government was not passed by parliament. The failure followed a fierce debate, with",Ministry of Education,national,medium,0.6223,0.026,45.0
gdn_3336062535518532150,"‘I’ve not had proper food for days’: migrant workers leave India’s cities as Iran war fuel crisis deepens. Gas shortages and rising food prices mean many who came to the capital for work cannot afford to eat. Going home is now their only option At 9am on a Saturday, 35-year-old Raju Prasad rushes through Anand Vihar railway station in Delhi, a heavy bag slung over his shoulder. Beside him, his wife clutches their youngest daughter with one arm and a white plastic bucket with the other. Their three other children trail behind – one dragging a trolley bag, the others holding on to whatever little they can manage. With Prasad’s brother, the",Ministry of Railways,Delhi,medium,0.6409,0.024,47.4
gdn_750040599965107983,"Indians protest over ‘forever chemicals’ after relocation of scandal-hit Italian factory. Lack of Pfas regulations raised in parliament after Guardian revealed former Miteni plant bought by Indian company Protests over the production of cancer-linked Pfas chemicals have spread across India, after an investigation revealed that an Italian factory shut down due to an environmental scandal was bought by an Indian company and partly rebuilt. At the end of last year, the Guardian revealed that the former Miteni plant in Vicenza had been acquired by the Indian company Laxmi Organic Industries. The factor",Ministry of Education,national,medium,0.6373,0.012,53.8
gdn_7660809160374380772,"Public health at risk across Asia as Iran crisis sends price of cooking gas soaring. Families turn to dirty fuels such as firewood, bringing fears over air pollution and fragility of energy transition In the ramshackle lanes of a south Delhi slum, Afshana Khatoon crouched wearily on her haunches and began lighting a small pile of firewood. She had only just returned from six hours spent trudging through the urban forests and dry parks of India’s capital looking for kindling to turn into a makeshift stove. As the unforgiving summer heat soared above 40C, she had walked for miles, piling the stic",Ministry of Health,Delhi,medium,0.6303,0.03,46.1
gdn_6479618828783527920,"Starmer urged to intervene in ‘rigged’ Indian prosecution of British human rights activist. Senior lawyers call on prime minister to request Indian prosecutors drop charges that would breach double jeopardy rule Four senior lawyers, including the former attorney general Dominic Grieve, have written to Keir Starmer urging him to request that Indian prosecutors drop charges against the British national Jagtar Singh Johal on the basis that continued prosecution would be in manifest breach of the double jeopardy rule which prevents someone being tried twice for the same offence. Johal has been held in an Indi",Ministry of Home Affairs,national,medium,0.6265,0.025,48.0
gdn_4887952455411930416,"‘Defeated by conspiracy’: West Bengal chief minister refuses to resign after election loss. Mamata Banerjee says Narendra Modi’s party ‘forcefully captured’ election that ended her party’s 15 years in power A political showdown is taking place in the Indian state of West Bengal as the chief minister, Mamata Banerjee, India’s most powerful female politician, has refused to resign after she lost elections to the prime minister’s party this week. Narendra Modi’s Bharatiya Janata party (BJP) won an overwhelming victory on Monday in state elections in West Bengal, where Banerjee and her Trinamool Congress",Ministry of Power,West Bengal,medium,0.6312,0.014,48.8
gdn_4162699501847714905,"Narendra Modi’s BJP wins election in West Bengal for the first time. Result in key Indian state is set to have significant implications for the country’s political landscape Narendra Modi’s party has won a resounding election victory in West Bengal, a state which had been a rare opposition stronghold, expanding his unrivalled consolidation of power across the country. It is the first time that the Indian prime minister’s Bharatiya Janata party (BJP) has won assembly elections in West Bengal, a large and politically significant state in eastern India. Over the past 15",Ministry of Power,West Bengal,medium,0.6427,0.007,58.5
gdn_9165356237000721634,"‘It’s no longer exceptional’: Karachi struggles under brutal new reality of extreme heat. Experts say the unseasonably hot weather across south Asia shows the impact of the climate crisis An intense and prolonged heatwave has been causing misery for millions across Pakistan and India. In southern Pakistan throughout April and May, temperatures have risen far above seasonal norms. In Sindh, daytime temperatures have frequently crossed 44C to 46C, forcing residents indoors during peak afternoon hours and severely affecting outdoor labourers, transport workers and farming communities.",Ministry of Labour,national,medium,0.624,0.015,45.3
gdn_4664333789051364220,"Tensions high in West Bengal after BJP aide shot dead and hundreds arrested. Turmoil and violence rocks state after prime minister Narendra Modi’s party claimed victory in legislative election Tensions have been high in the Indian state of West Bengal after a top political aide from Narendra Modi’s party was shot dead in the street and hundreds were arrested as violence broke out following elections this week. The prime minister’s Bharatiya Janata party (BJP) claimed victory in the West Bengal elections on Monday, defeating Trinamool Congress (TMC), which had ruled over the state legisl",Ministry of Home Affairs,West Bengal,medium,0.6361,0.008,51.7
rss_4960694801362518353,"Tamil Nadu’s rights of utmost importance, never said will surrender that: Higher Education Minister. He was responding to a controversy stoked by his statement in Madurai on Wednesday that the new government need not follow the policies of the previous government, particularly with regard to the Chief Minister serving as the Chancellor of universities",Ministry of Education,Tamil Nadu,medium,0.5793,0.018,53.8
rss_7460992571625864420,"T.N. Higher Education Minister says CM need not be Chancellor of universities; DMK, VCK criticise remark. During his visit to Madurai, the Minister had stated that the present TVK-led government should not find it imperative to stick to the stand taken by the previous DMK government that the Chief Minister alone should be the Chancellor of State-run universities",Ministry of Education,national,medium,0.568,0.025,48.0
rss_1548831217451094481,"Women-led solar power plant inaugurated in Telangana’s Khammam; ₹4.5 lakh-₹5 lakh monthly income estimated. Telangana government intends to establish similar solar power plants in every district, says Deputy CM and Power Minister Mallu Bhatti Vikramarka",Ministry of Power,Telangana,low,0.6107,0.011,46.5
rss_5387891417424261866,"Tamil Nadu CM Vijay calls on PM Modi at New Delhi; discusses Mekedatu, fishermen issues. Mr. Vijay urged the Prime Minister to direct the Union Home Ministry to issue a clarification permitting the respective State invocation songs to be sung at the beginning of all government events",Ministry of Home Affairs,Tamil Nadu,low,0.6033,0.01,49.2
rss_9122256072305967243,"Andhra Pradesh officials say Odisha blocking census collection in Kotia villages. Tribal Welfare Minister Gummadi Sandhya Rani has asked Chief Minister N. Chandrababu Naidu to protect the people of the disputed Kotia villages, where Odisha officials have reportedly stopped Andhra Pradesh staff from collecting census data",Ministry of Panchayati Raj,Andhra Pradesh,high,0.561,0.015,43.1
rss_2071876632189045651,"Emotional scenes as Abdul Rahim arrives home in Kerala after serving 20-year jail term in Saudi. A native of Kodampuzha in Kozhikode district of Kerala, Abdul Rahim was imprisoned and sentenced to death in 2006 for the murder of 14-year-old differently abled son of his employer. His jail term ended on May 19",Ministry of Home Affairs,Kerala,low,0.6123,0.008,47.6
rss_2663288070186685414,"Sold twice, raped multiple times, tribal girl trafficked from Odisha narrates ordeal. Odisha police launch investigation after the girl who escaped from Jhansi district of Uttar Pradesh file a formal complaint",Ministry of Home Affairs,Uttar Pradesh,low,0.5678,0.016,43.1
rss_4579442789673977777,"India, China hold 'constructive' talks on LAC; agree border peace key to normalising ties. The two sides also agreed to work together to make ""substantive preparation"" for the next meeting of the Special Representatives (SR) which is to be held in China",Ministry of Education,national,low,0.5929,0.014,43.6
rss_2804315463731884290,"Bihar cabinet approves ‘cashless treatment’ for MLAs, government officials, employees and pensioners. The cabinet also approved the framing of “Bihar Ryot Land Purchase Policy 2026”, as per which land can be acquired based on mutual talks/coordination/consent from the ryots for various projects of both the central and state governments",Ministry of Social Justice,Bihar,medium,0.5731,0.013,51.9
rss_1251190624832551962,"Annapurna Yojana: How to enrol in West Bengal’s new cash aid scheme for women. Under the Annapura Yojana scheme, women will receive ₹3,000 per month. The existing Lakshmir Bhandar scheme will continue until the new programme is fully implemented",Ministry of Panchayati Raj,West Bengal,low,0.6124,0.005,48.0
rss_1803991030941985254,"Finance Ministry to conduct factory visits for ground-level inputs ahead of Budget planning. The initiative, led by the Department of Economic Affairs in the Finance Ministry, will involve senior DEA officials visiting large, medium and small manufacturing units, as well as externally aided projects, to assess operational and policy challenges across sectors",Ministry of Finance,national,low,0.613,0.014,43.6
rss_7226573810911261867,"Watch: Whatever happened to India’s ambitious biogas plans?. We are now starting to see the impact of the war in West Asia, and the resultant blockade of the Strait of Hormuz by both the U.S. and Iran. The government has raised petrol and diesel prices after a gap of four years. The price of CNG has been increased. This crisis is showing just how vulnerable India’s energy security is to external shocks. But, is there a fuel we’ve been sitting on all along that can potentially solve several issues?",Ministry of Home Affairs,national,medium,0.607,0.025,48.3
